DISTRICT_CODE,DISTRICT_NAME,OS_P_200304,OS_P_200405,OS_P_200506,OS_P_200607,OS_P_200708,OS_P_200809,OS_P_200910,OS_P_201011,OS_P_201112,OS_P_201213,OS_P_201314,PT_P_200304,PT_P_200405,PT_P_200506,PT_P_200607,PT_P_200708,PT_P_200809,PT_P_200910,PT_P_201011,PT_P_201112,PT_P_201213,PT_P_201314,TB_P_200304,TB_P_200405,TB_P_200506,TB_P_200607,TB_P_200708,TB_P_200809,TB_P_200910,TB_P_201011,TB_P_201112,TB_P_201213,TB_P_201314,SC_P_200304,SC_P_200405,SC_P_200506,SC_P_200607,SC_P_200708,SC_P_200809,SC_P_200910,SC_P_201011,SC_P_201112,SC_P_201213,SC_P_201314,dbID_1,OS_A_200304,OS_A_200405,OS_A_200506,OS_A_200607,OS_A_200708,OS_A_200809,OS_A_200910,OS_A_201011,OS_A_201112,OS_A_201213,OS_A_201314,PT_A_200304,PT_A_200405,PT_A_200506,PT_A_200607,PT_A_200708,PT_A_200809,PT_A_200910,PT_A_201011,PT_A_201112,PT_A_201213,PT_A_201314,TB_A_200304,TB_A_200405,TB_A_200506,TB_A_200607,TB_A_200708,TB_A_200809,TB_A_200910,TB_A_201011,TB_A_201112,TB_A_201213,TB_A_201314,SC_A_200304,SC_A_200405,SC_A_200506,SC_A_200607,SC_A_200708,SC_A_200809,SC_A_200910,SC_A_201011,SC_A_201112,SC_A_201213,SC_A_201314,dbID_12,dbName_12,OS_Y_200304,OS_Y_200405,OS_Y_200506,OS_Y_200607,OS_Y_200708,OS_Y_200809,OS_Y_200910,OS_Y_201011,OS_Y_201112,OS_Y_201213,OS_Y_201314,PT_Y_200304,PT_Y_200405,PT_Y_200506,PT_Y_200607,PT_Y_200708,PT_Y_200809,PT_Y_200910,PT_Y_201011,PT_Y_201112,PT_Y_201213,PT_Y_201314,TB_Y_200304,TB_Y_200405,TB_Y_200506,TB_Y_200607,TB_Y_200708,TB_Y_200809,TB_Y_200910,TB_Y_201011,TB_Y_201112,TB_Y_201213,TB_Y_201314,SC_Y_200304,SC_Y_200405,SC_Y_200506,SC_Y_200607,SC_Y_200708,SC_Y_200809,SC_Y_200910,SC_Y_201011,SC_Y_201112,SC_Y_201213,SC_Y_201314
33,Parsa,5132,4786,4800,4800,5090,5090,6204.5,5929,6229,5796,6829.8,13992,14333,19500,19500,19975,20783,18950,18950,16400,16400,18400,150,150,135,135,113,113,110.29,255,255,1025,324,15000,7750,15000,15000,15300,18000,26049,24750,36400,37500,66600,33,6560,6925,7955,4800,6755,6755,6965,6660,6987,6987,6856,965,975,1025,1025,1150,1173,1050,1050,1200,1200,1280,150,150,135,135,142,142,137.6,150,700,700,180,400,310,500,500,600,600,850,900,930,930,1480,33,Parsa,782.32,691.12,603.39,603.39,753.52,753.52,890.81,890.24,891.51,829.54,996.18,14499.48,14700.51,19024.39,19024.39,17369.57,17717.82,18047.62,18047.62,13666.67,13666.67,14375,1000,1000,1000,1000,795.77,795.77,801.52,1700,0,1464.29,1800,37500,25000,30000,30000,25500,30000,30645.88,27500,27500,40322.58,45000
34,Makwanpur,1362,1332,1332,1000,1156,1180,1570,1737,1687,1705,2208,52500,54900,58900,58900,59800,60228,60656,61500,67217,71200,67408,0,0,0,0,0,0,0,0,0,0,0,2600,2600,2600,2600,2600,2600,2862.86,2800,3250,3250,0,34,1473,1473,1473,1000,1458,1540,1530,1539,1534,1850,1900,4550,4596,4596,4596,4610,4850,4850,4855,4858,4900,4910,0,0,0,0,0,0,0,0,0,0,0,90,90,90,90,90,90,94.49,90,95,95,0,34,Makwanpur,924.64,904.28,904.28,833.33,792.87,766.23,1026.14,1128.65,1099.74,921.62,1162.11,11538.46,11945.17,12815.49,12815.49,12971.8,8649.26,12506.39,12667.35,13836.35,14530.61,13728.72,0,0,0,0,0,0,0,0,0,0,0,28888.89,28888.89,28888.89,28888.89,28888.89,28888.89,30297.7,31111.11,34210.53,34210.53,0
35,Chitwan,5756,7700,7300,6892,5800,5800,8930,10758,10705,10337,11227,25955,26850,29160,27815,30500,34780,34780,34780,35057,35717,34089,0,0,0,0,0,0,0,0,0,0,0,150,300,300,450,450,550,605.61,1500,2500,700,1500,35,14392,14000,14000,6892,7500,7500,11150,12237,12380,12630,12680,1790,1790,1810,1810,1850,1880,1880,1885,1895,1910,1915,0,0,0,0,0,0,0,0,0,0,0,15,15,15,16,15,17,17.85,50,50,50,50,35,Chitwan,399.94,550,521.43,602.34,773.33,773.33,800.9,879.14,864.7,818.45,885.41,14500,15000,16110.5,15367.4,16486.49,18500,18500,18450.93,18499.74,18700,17801.04,0,0,0,0,0,0,0,0,0,0,0,10000,20000,20000,28125,30000,32352.94,33930.68,30000,30000,14000,30000
36,Gorkha,675,425,361,225,352,35,592,606,720,694,769.7,26795,28440,27759,27759,27759,27552,26519,26519,32672,25434,29924,0,0,0,0,0,0,0,0,0,1,2.09,910,580,950,797,767,767,844.54,877,1200,877,889,36,1165,601,603,225,506,50,607,612,716,712,624.6,2330,2370,2435,2435,2435,2460,2460,2460,2462,2512,2500,0,0,0,0,0,0,0,0,0,2.02,2.03,60,25,65,55,55,55,57.74,60,62,60,60,36,Gorkha,579.4,707.15,598.67,600,695.65,700,975.29,990.2,1005.59,974.72,1232.31,11500,12000,11400,11400,11400,11200,10780.08,10780.08,13270.51,10125,11969.6,0,0,0,0,0,0,0,0,0,495.05,1029.56,15166.67,23200,14615.38,14490.91,13945.45,13945.45,14625.53,14616.67,14616.67,14616.67,14817
37,Lamjung,525,546,595,605,605,605,612,642,679.75,695,834.5,12000,15280,18879,17920,18879,19066,19066,20500,20060,20242,24305,0,0,0,0,0,0,0,0,0,0,0,1700,459,580,504,504,504,554.95,550,900,600,605,37,620,635,665,605,671,671,680,680,715.5,843,1157,1420,1690,1740,1740,1740,1766,1766,1766,1836,1850,1875,0,0,0,0,0,0,0,0,0,0,0,40,26,29,28,28,28,29.4,29,30,30,30,37,Lamjung,846.77,859.84,894.74,901.64,901.64,901.64,900,944.12,950.03,824.44,721.26,8450.7,9041.42,10850,10298.85,10850,10796.15,10796.15,11608.15,10925.93,10941.62,12962.67,0,0,0,0,0,0,0,0,0,0,0,42500,17653.85,20000,18000,18000,18000,18877.8,18965.52,18965.52,20000,20167
38,Tanahu,360,462,419,372,372,400,423,433,429,453,407.6,6175,6188,10650,9872,9872,10186,6536,8050,7080,7080,9800,0,0,0,0,0,0,0,0,0,0,0,400,620,620,620,620,620,682.68,682.68,682.68,1440,1370,38,460,609,612,372,457,559,668,673,673,699,622.4,656,700,810,912,912,926,769,769,775,775,780,0,0,0,0,0,0,0,0,0,0,0,20,36,36,36,36,36,37.8,37.8,58,58,55,38,Tanahu,782.61,758.62,684.64,814,814,715.56,633.23,643.39,637.44,648.07,654.88,9413.11,8840,13148.15,10824.56,10824.56,11000,8499.35,10468.14,9135.48,9135.48,12564.1,0,0,0,0,0,0,0,0,0,0,0,20000,17222.22,17222.22,17222.22,17222.22,17222.22,18062.09,18062.09,18062.09,24827.59,24909
39,Manang,27,20,20,20,20,20,0,9,0,2,2,8260,8260,8625,7919,7919,9250,9045,9045,6894,9334,7611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,25,25,25,20,25,25,0,10,0,2,2,725,725,731,738,738,740,740,730,745,791,645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,Manang,1080,800,800,800,800,800,0,900,0,1000,1000,11393.1,11393.1,11798.91,10730.35,10730.35,12500,12222.97,12390.41,9253.69,11800.25,11800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,Kaski,380,367,501,350,367,367,461,182,435,501,465.7,9370,10394,12215,11600,11600,18224.8,19742,19742,19734,27012,16931,0,0,0,0,0,0,0,0,0,0,0,580,4270,380,4800,5200,5200,5725.72,562,1225,710,710,40,500,502,687,350,491,491,586,556,568,629,599,946,970,960,1030,1030,1672,1771,1775,1679,1685,1690,0,0,0,0,0,0,0,0,0,0,0,20,20,19,22,37,36,37.8,32,32,40,40,40,Kaski,760,731.08,729.26,815.85,747.45,747.45,786.69,327.34,765.85,796.5,777.46,9904.86,10715.46,12723.96,11262.14,11262.14,10900,11147.37,11122.25,11753.42,16030.86,10018.34,0,0,0,0,0,0,0,0,0,0,0,29000,11634.88,758.48,13714.29,14168.94,14168.94,151488.5,17562.5,382812.5,17750,17750
41,Syangja,153,153,130,211,166,166,212,197,197,253,535,9500,9500,12000,14220,14220,12500,12547,12547,10288,11890,11890,0,0,0,0,0,0,0,0,0,0,0,192,192,180,192,192,192,211.41,270,405,375,370,41,153,153,160,211,205,205,272,266,266,330,630,750,750,760,790,790,802,805,810,850,850,850,0,0,0,0,0,0,0,0,0,0,0,16,16,16,16,16,16,16.8,18,20,25,25,41,Syangja,1000,1000,812.5,811.54,809.76,809.76,779.41,740.6,740.6,766.67,849.21,12666.67,12666.67,15789.47,18000,18000,15586.03,15586.34,15490.12,12103.53,13988.24,13988.24,0,0,0,0,0,0,0,0,0,0,0,12000,12000,11250,12000,12000,12000,12585.2,15000,15000,15000,14800
42,Nawalparasi,5694,5694,5694,3560,3550,3550,4311,4481,4698,4280,4876.1,9862,9800,11800,10762,15480,16105,12711,13800,12366,12366,19875,7,7,7,7,5,5,4.88,0,25,25,0,306000,306000,306000,330000,315000,248800,328750,317250,330250,266000,210450,42,7535,7535,7535,3560,5400,5400,6475,7462,7462,7625,8284,875,875,875,1025,1250,1275,1100,1100,1145,1145,1625,10,10,10,10,6,6,5.81,0,25,25,0,7200,7200,7200,7500,7300,6000,7523,7000,7250,7020,7015,42,Nawalparasi,755.67,755.67,755.67,659.26,657.41,657.41,665.79,600.51,629.59,561.31,588.62,11270.86,11200,13485.71,10499.51,12384,12631.37,11555.45,12545.45,10800,10800,12230.77,700,700,700,700,833.33,833.33,839.35,0,0,1000,0,42500,42500,42500,44000,43150.68,41466.67,43699.32,45321.43,45321.43,37891.74,30000
43,Palpa,618,712,968,525,525,525,774,706,713,434,1105.15,7752,7946,8211,8660,8660,8746,6627,7500,9560,9560,9560,0,0,0,0,0,0,0,0,0,0,0,936,936,957,784,784,784,863.26,524,1500,500,478.4,43,750,880,880,525,615,615,910,910,917,429,1234,680,685,690,693,693,703,705,710,720,720,720,0,0,0,0,0,0,0,0,0,0,0,65,65,58,53,53,53,55.64,50,50,48,46,43,Palpa,824,809.09,1100,853.66,853.66,853.66,850.55,775.82,777.54,1011.66,895.58,11400,11600,11900,12496.39,12496.39,12440.97,9400,10563.38,13277.78,13277.78,13277.78,0,0,0,0,0,0,0,0,0,0,0,14400,14400,16500,14792.45,14792.45,14792.45,15513.83,10480,10480,10416.67,10400
44,Rupandehi,4450,4450,3250,3800,3800,3800,6480,6902,7096,6469,6553,45250,45200,52250,48400,57600,50400,53200,51200,53475,53200,58200,15,15,15,15,10,10,9.76,0,0,0,1,185000,185000,185000,180000,128000,109250,44500,24393,25000,9600,14400,44,6325,6325,6500,3800,6700,6700,7200,7225,7225,7288,7685,3250,3250,3500,3550,3650,3800,3800,3800,3865,3865,3865,20,20,20,20,15,15,14.54,0,0,0,1.5,3520,3520,3520,3520,2750,2500,950,550,500,200,300,44,Rupandehi,703.56,703.56,500,622.95,567.16,567.16,900,955.29,982.15,887.62,852.7,13923.08,13907.69,14928.57,13633.8,15780.82,13263.16,14000,13473.68,13835.71,13764.55,15058.21,750,750,750,750,666.67,666.67,671.48,0,0,0,666.67,52556.82,52556.82,52556.82,51136.36,46545.45,43700,46842.11,44350.91,44350.91,48000,48000
45,Gulmi,448,278,278,278,395,489,582,284,636,771,553.4,3027,3697,4800,6325,6325,3480,3600,4900,5216,4416,5276,0,0,0,0,0,0,0,0,0,0,0,565,700,700,685,684,684,753.15,621,621,1748,1805,45,478,420,420,278,500,550,529,531,530,621,558,365,425,475,632,632,435,440,455,445,460,470,0,0,0,0,0,0,0,0,0,0,0,42,50,50,50,52,52,54.59,54,83,92,95,45,Gulmi,937.24,661.9,661.9,661.9,790,889.09,1100.19,534.84,1200,1241.55,991.76,8293.15,8698.82,10105.26,10007.91,10007.91,8000,8181.82,10769.23,11721.35,9600,11225.53,0,0,0,0,0,0,0,0,0,0,0,13452.38,14000,14000,13700,13153.85,13153.85,13795.31,11500,11500,19000,19000
46,Arghakhanchi,775,675,675,1311,1385,1310,1388,1279,1303,1208,1347,5200,5200,6620,7814,7310,3660,7312,7500,9371,5496,8496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,120,220,0,46,800,800,800,1311,1412,1412,1412,1412,1442,1342,1425,610,610,610,661,685,685,685,685,775,687,687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,6,0,46,Arghakhanchi,968.75,843.75,843.75,929.79,980.88,927.76,983,905.81,903.61,900.15,945.26,8524.59,8524.59,10852.46,11821.48,10671.53,5343.07,10674.45,10948.91,12091.61,8000,12366.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19000,19000,36666.67,0
47,Kapilbastu,2145,4086.61,4086.61,2511.04,2299,3463,2963,3290,3320,3261,3834.5,17812,20794,22500,22150,25100,19125,26000,26000,34010,24140,34140,5,5,5,5,5,5,4.88,0,0,0,0,203600,185000,195000,226000,226250,206250,239525,287650,315000,315000,277716.75,47,3300,5335,5335,2511.04,3630,3850,3970,4090,4130,4160,4231,1875,2082,2000,2025,2025,2250,2350,2350,2410,2425,2425,10,10,10,10,10,10,9.69,0,0,0,0,5700,5020,5710,5720,5725,5025,5125,5230,5300,5230,5235,47,Kapilbastu,650,766,766,608,633.33,899.48,746.35,804.4,803.87,783.89,906.29,9499.73,9987.51,11250,10938.27,12395.06,8500,11063.83,11063.83,14112.03,9954.64,14078.35,500,500,500,500,500,500,503.61,0,0,0,0,35719.3,36852.59,34150.61,39510.49,39519.65,41044.78,46736.59,55000,55000,60229.45,53050
48,Mustang,25,31,31,30,25,15,25,25,25,25,25,2240,2330,2330,2308,2308,3200,3210,3210,3200,3200,3200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,25,35,35,30,30,30,30,30,30,30,30,225,232,232,232,232,240,250,250,250,350,350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,Mustang,1000,885.71,885.71,857.14,833.33,500,833,833.33,833.33,833.33,833.33,9955.56,10043.1,10043.1,9948.28,9948.28,13333.33,12840,12840,12800,9142.86,9142.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,Myagdi,80,500,500,176,16,160,183,202,302,302,241.29,10050,10600,17600,16160,16160,16330,16191,16191,18989,18989,16451,0,0,0,0,0,0,0,0,0,0,0,340,340,340,340,340,340,374.37,374,375,576,159.25,49,115,650,650,176,20,200,227,235,323,323,254.95,1560,1600,1600,1550,1550,1560,1560,1565,1580,1580,1605,0,0,0,0,0,0,0,0,0,0,0,20,20,20,20,20,20,21,21,21,21,3.5,49,Myagdi,695.65,769.23,769.23,800,800,800,806.17,859.57,934.98,934.98,946.42,6442.31,6625,11000,10425.81,10425.81,10467.95,10378.85,10345.69,12018.35,12018.35,10249.84,0,0,0,0,0,0,0,0,0,0,0,17000,17000,17000,17000,17000,17000,17829.03,17809.52,17809.52,27428.57,45500
50,Parbat,246,246,246,231,231,231,244,249,240.95,269,283.66,14140,14140,16140,14520,14520,14664,21136,21136,21602,23190,23190,0,0,0,0,0,0,0,0,0,0,0,160,160,160,160,160,160,176.18,176,340,545,0,50,285,285,285,231,304,304,331.73,337,317,339,352,1443,1443,1443,1452,1452,1474,1510,1510,1516,1778,1778,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,10.5,10,10,10,0,50,Parbat,863.16,863.16,863.16,759.87,759.87,759.87,735.54,738.87,760.09,793.51,805.85,9799.03,9799.03,11185.03,10000,10000,9948.44,13997.35,13997.35,14249.34,13042.74,13042.74,0,0,0,0,0,0,0,0,0,0,0,16000,16000,16000,16000,16000,16000,16780.26,17600,17600,54500,0
